temp_min,temp_max,rain,wind_gust,wind_speed,humidity,pressure,clouds,CloudBurstToday,CloudBurstTomorrow
13.9,28.4,0,30,9,44,1015.3,7,0,0
14.7,33.3,0,41,11,38,1015.8,0,0,0
16.9,28.4,7.6,28,15,82,1012.4,6,1,0
16.8,26.9,0.2,43,20,37,1018,6,0,0
14,26,0,39,17,31,1021.7,2,0,0
12.8,28.9,0,35,13,48,1023.1,0,0,0
17.1,33.2,0,43,11,39,1021.2,0,0,0
19.4,33.5,0,37,9,26,1018.5,2,0,0
16.2,31.5,0,37,15,21,1017.2,2,0,0
16.1,35.2,0,37,9,16,1013.6,6,0,0
11.8,27.4,6.2,39,9,40,1013.4,2,1,0
11.8,29.3,0,43,22,21,1013,0,0,0
12.9,27.3,0,48,19,27,1016.3,0,0,0
15.8,29.9,0,43,11,36,1018.8,1,0,0
16.6,35,0,37,17,36,1014.9,2,0,0
17.2,31,0,39,20,15,1015,1,0,0
16.5,32.6,0,26,11,42,1015.3,4,0,0
18.7,36.9,0,28,13,42,1013.9,7,0,0
22.3,39.1,0,33,17,18,1013.2,1,0,0
27.3,43.1,NA,50,17,21,1011.5,6,NA,0
23.6,40.2,0,43,24,21,1012.7,1,0,0
21.4,37.7,0,48,13,13,1012.2,1,0,0
19.7,38.9,0,44,9,31,1012.5,1,0,0
26.5,42.1,0,44,19,39,1009.7,NA,0,0
29.3,43.5,0,46,20,27,1011.5,NA,0,0
27.6,43.7,0,46,20,30,1015.4,1,0,0
27.7,41.1,0,44,20,32,1017,0,0,0
26.3,41.9,0,46,19,23,1009.4,1,0,0
19.9,29.7,0,46,20,47,1002.5,1,0,0
15.6,34.9,0,30,13,22,1006.2,0,0,0
20,43.4,0,35,19,31,1006.3,0,0,0
25.8,46,0,52,20,13,1007,6,0,0
24.2,41.7,0,63,26,22,1005.8,1,0,0
16.1,32,0,41,20,49,1013.8,1,0,0
18.9,35.4,0,52,20,38,1013,1,0,0
22.4,39.3,0,28,7,45,1011.7,1,0,0
27.4,43,0,37,11,30,1008.1,0,0,0
29.4,43.8,0,52,20,22,1004.4,3,0,0
26.1,29.7,0,41,19,43,1009.3,7,0,0
20.6,36.6,0,26,13,65,1011.3,1,0,0
24.7,39.2,0,50,9,50,1010.2,1,0,0
22.1,38.4,0.6,39,9,53,1009.5,3,0,0
22.6,38.5,0,48,11,43,1010.8,1,0,0
22.9,37.3,0,39,13,55,1011.8,0,0,0
24.7,39.1,0,33,9,52,1009.3,1,0,0
24.4,38.6,0,59,13,37,1007.8,1,0,0
21.3,34,0,39,13,25,1007.1,1,0,0
19.8,35.6,0,41,22,37,1005,1,0,0
20.6,31.7,0,65,24,40,1007.4,0,0,0
16,33.7,0,26,11,23,1013.4,0,0,0
13,21.1,39.2,46,26,96,1010.6,8,1,0
15.9,27.3,6.2,59,26,90,1015.1,7,1,0
16.9,30.4,0.8,43,24,67,1015.6,5,0,0
18.8,30.7,0,41,19,61,1016.2,4,0,0
20.3,31.2,0,43,19,55,1016.8,1,0,0
18.8,31.7,0,31,17,48,1016.8,1,0,0
20.6,32.2,0,35,17,47,1017.9,4,0,0
19.4,31.7,0,33,9,51,1018.1,3,0,0
21.6,32.1,0,44,13,49,1017.4,7,0,0
19.6,33.5,0,35,20,46,1017,3,0,0
20.1,32.2,0,35,9,52,1017.2,1,0,0
19.9,33.2,0,28,9,42,1012.3,1,0,0
20.7,32.4,0,31,17,33,1010.8,1,0,0
16.7,33.2,0,33,9,36,1014.8,0,0,0
16.5,31.4,0,48,26,32,1014,1,0,0
14.8,23.8,0,44,19,57,1017.8,1,0,0
11,27.2,0,26,11,37,1018.3,1,0,0
15.5,29.2,0,39,7,54,1018.9,1,0,0
18.5,31.2,0,46,22,52,1019.9,1,0,0
18.7,32.4,7.8,39,13,76,1013.4,6,1,0
18.4,30.7,0,30,9,85,1016.5,6,0,0
14.8,31.4,0,39,20,46,1016.6,1,0,0
15,32.7,0,24,13,32,1017.5,0,0,0
16.6,34.2,0,30,9,27,1016.2,7,0,0
21.9,35.8,0,46,24,51,1015.1,1,0,0
23.4,30.1,0,48,30,47,1015.3,7,0,0
10.8,23.9,1,30,19,63,1020.3,1,0,0
9,24.9,0,26,7,49,1016.6,1,0,0
14.6,22,0.4,31,11,70,1015.8,7,0,0
11.5,26.1,0,30,11,67,1019.3,0,0,0
11.5,25.6,0,39,20,56,1019.3,0,0,0
14,27.4,0,31,11,49,1020,1,0,0
13.9,28.1,0,31,17,65,1023.5,0,0,0
16,28.6,0,35,13,65,1026.3,7,0,0
16.4,26.6,0,28,9,59,1024.2,8,0,0
14.6,28.2,0,30,9,46,1022.9,1,0,0
14.6,28.6,0,30,11,36,1024.1,5,0,0
14.4,28.7,0,31,17,37,1024.2,3,0,0
13.9,28.6,0,39,20,49,1022.7,0,0,0
15.3,28.9,0,NA,17,42,1022.4,1,0,0
15.7,28.5,0,30,11,40,1022.9,NA,0,0
15.1,29.5,0,31,11,40,1019.4,NA,0,0
16.6,31.1,0,24,13,24,1014.7,1,0,0
17.4,28.9,0,39,20,27,1011.1,5,0,0
11.7,23.3,0,35,19,46,1015.5,1,0,0
9.7,22.9,0,33,15,36,1016.6,4,0,0
8.1,23.3,0,41,22,39,1017.7,0,0,0
9.2,18.9,0,37,19,55,1019.8,7,0,0
6.6,21.4,0,31,17,37,1018.3,0,0,0
10.3,22.1,0,39,17,50,1014.4,3,0,0
11.5,24.2,0,31,20,36,1012.2,1,0,0
8.2,24,0,37,15,44,1017.1,1,0,0
7.9,21.2,0,33,20,48,1021.7,1,0,0
7.2,23.2,0,31,17,36,1025.2,0,0,0
9.8,25.2,0,35,9,40,1026.4,0,0,0
12.2,27.1,0,24,11,38,1022.2,1,0,0
12.9,29,0,28,13,26,1020.6,0,0,0
14.8,30.4,0,37,6,14,1022.7,2,0,0
16.3,30.5,0,28,13,39,1023.3,6,0,0
12.9,29.2,0,41,20,30,1020.5,1,0,0
10.5,22,0,33,13,36,1024.9,7,0,0
7.7,25.7,0,30,7,46,1025.5,1,0,0
11.8,27.3,0,30,15,15,1022.7,2,0,0
6.3,21.9,0,20,9,42,1023.5,2,0,0
8.6,22.9,0,24,13,52,1023.1,7,0,0
10.8,26,0,31,13,54,1024.5,3,0,0
12.4,25.4,2.8,26,11,62,1028.8,1,1,0
11.8,25,0,30,15,52,1029.1,4,0,0
9,25.5,0,35,19,40,1027.8,0,0,0
4.8,16.7,3,30,15,75,1017.6,0,1,0
7.5,19.1,0,30,13,58,1016.3,4,0,0
10.2,19.2,0,39,17,68,1015.2,4,0,0
5.8,18.4,0.2,30,17,76,1019.1,1,0,0
6.3,16.5,0,28,15,66,1020,8,0,0
6.6,17.3,0,33,15,57,1022.3,1,0,0
7.5,21.1,0,28,11,35,1021.4,2,0,0
9.5,14.2,8.4,28,13,86,1012.7,7,1,0
6.4,17.7,0.8,39,20,72,1021.8,0,0,0
4.5,17.9,0,28,13,73,1027,0,0,0
4.4,17.5,0,28,13,83,1029.5,0,0,0
5.6,18.2,0,24,7,79,1028.4,7,0,0
6.7,20.8,0,28,15,67,1029,7,0,0
9.7,22.9,0,37,19,73,1028.7,2,0,0
14.1,21.2,0,41,13,65,1026.6,5,0,0
13.3,23.8,0.2,37,20,69,1025.8,7,0,0
12.5,15.6,14.2,46,26,92,1014.4,8,1,0
4.8,15.7,0,30,17,90,1025.1,1,0,0
4.7,15.7,0,20,6,83,1027.7,7,0,0
7.2,16.3,0,28,13,84,1025.2,7,0,0
12.5,18,1.2,26,15,91,1024.5,7,1,0
7.3,18.2,0,20,9,60,1029.9,1,0,0
9.2,18.4,18.2,31,7,97,1021.4,7,1,0
7.1,13,1.2,33,20,86,1017.9,7,1,0
3.1,14,0,22,9,93,1018.8,2,0,0
2.5,13.1,0,24,15,88,1015.6,5,0,0
1,12.6,0.2,33,20,85,1018.6,5,0,0
2.8,15.3,0,24,11,84,1024.5,1,0,0
6.2,15.4,0,28,7,78,1023.7,7,0,0
6.4,16.4,0,19,7,65,1021.1,1,0,0
4.6,16.6,0,20,7,69,1023.1,0,0,0
4.5,16.4,0,20,9,74,1026.6,1,0,0
2.5,15.3,0,31,17,90,1025.4,1,0,0
4.9,15.7,0,33,19,86,1021.6,7,0,0
10.8,14.5,4,15,7,95,1021.4,8,1,0
6.7,15.7,1.4,35,20,85,1027.3,1,1,0
5.8,15.7,0,37,20,100,1027.2,8,0,0
5.5,16.9,0,30,15,83,1026.4,3,0,0
5.6,17.4,0,20,7,74,1025.6,0,0,0
5.6,18.9,0,35,17,70,1019.1,0,0,0
8.8,15,0,33,20,56,1017.4,1,0,0
2,14.4,0,24,15,57,1024.5,0,0,0
1.7,15.8,0,17,6,53,1029.4,0,0,0
1.8,15.5,0,30,15,49,1033.5,0,0,0
4.7,15,0,31,17,75,1033.5,7,0,0
7.9,17.3,0,28,19,79,1030,2,0,0
11.5,21.9,2,28,7,74,1028.9,6,1,0
11.3,21.8,0,31,13,69,1026.9,7,0,0
11.8,22.5,1.2,33,20,77,1021.6,2,1,0
14.1,19.2,18.4,39,20,93,1014.7,7,1,0
7.5,14.1,0.4,54,30,76,1013.7,1,0,0
1.6,13.5,0,31,15,72,1019.4,0,0,0
3.9,14.1,0,37,20,59,1021.6,1,0,0
6,11.2,0,35,19,85,1025.7,7,0,0
5.3,14.5,0,26,11,85,1030.6,1,0,0
2.9,15.9,0.2,19,9,84,1030.4,1,0,0
4.3,17.3,0,20,9,74,1028.7,0,0,0
3.6,18.6,0,30,13,69,1028.5,1,0,0
9.4,21.5,0,43,22,54,1025.9,5,0,0
10,18.4,3.4,26,13,96,1021.7,4,1,0
4.8,17.6,0,19,9,82,1024,0,0,0
6.4,18.4,0,20,9,81,1022.2,6,0,0
5.2,16.7,0,39,24,66,1020,1,0,0
4.1,16,0,33,20,75,1021.2,1,0,0
5.6,16.4,0,28,15,69,1019.7,7,0,0
4.5,18.4,0,26,15,64,1021.4,0,0,0
7.9,22.1,0,43,22,40,1016.2,2,0,0
8,21.1,0,48,26,74,1013.7,5,0,0
4.7,14.7,0.2,41,20,77,1018.4,4,0,0
3.2,18.9,0,26,11,62,1021.1,1,0,0
8.5,22.6,0,22,9,31,1019.2,1,0,0
9.1,24.5,0,31,17,65,1017.5,7,0,0
11,17.6,0,44,22,41,1010.4,7,0,0
4.6,20,0,24,17,56,1019.2,1,0,0
8.5,22.2,0,65,17,24,1015.6,3,0,0
2.8,17.2,0,31,9,66,1024.8,0,0,0
4.9,20.7,0,48,24,50,1019.4,0,0,0
11.1,18.9,0,41,17,55,1015,1,0,0
4.8,20.8,0,41,22,34,1019.5,0,0,0
7.1,16.2,0,48,26,60,1017.5,6,0,0
0.5,13.3,0,37,17,66,1021.9,0,0,0
1.5,15.7,0,28,13,45,1021.5,1,0,0
5.3,18.1,0,44,20,37,1017.4,6,0,0
4.1,16.9,0,43,22,60,1018.8,1,0,0
8.6,19.8,0,28,11,69,1025.2,1,0,0
5.6,22.4,0,22,6,66,1027.1,0,0,0
8.2,22.9,0,24,7,52,1025.9,1,0,0
8.9,25.4,0,33,17,48,1023,0,0,0
12.7,28.9,0,31,13,32,1020.2,1,0,0
16.8,29.9,0,57,26,40,1017.4,4,0,0
11.3,24.1,0,33,15,37,1018.8,0,0,0
12.6,17.9,0,30,7,54,1023.3,8,0,0
10,27.8,0.2,31,17,58,1026.1,0,0,0
12.1,27.3,0,35,13,31,1029.5,0,0,0
11.4,28,0,30,13,36,1030.3,0,0,0
12,27.1,0,41,15,43,1030.2,0,0,0
13,29,0,31,9,31,1028.4,2,0,0
14.6,30,0,31,11,29,1027.6,NA,0,0
14.2,31.7,0,41,24,17,1024.1,1,0,0
13.1,28.2,0,30,13,38,1025,1,0,0
14,32,0,46,22,32,1018.5,7,0,0
17.1,25,0,41,26,39,1010.7,2,0,0
6.7,23,0,31,15,42,1015.7,1,0,0
8.8,24.1,0,30,11,32,1017.4,4,0,0
10.6,28.4,0.6,43,22,39,1013.9,NA,0,0
8.6,23.5,0,35,19,53,1015,0,0,0
10.9,19.3,10.8,39,15,75,1005.8,7,1,0
8.3,25.9,0.2,56,31,44,1007.1,1,0,0
6.9,19.2,0,33,19,55,1013.1,0,0,0
8,19.7,0,43,22,47,1014.7,NA,0,0
7.6,22.1,0,50,11,36,1017.7,NA,0,0
10.3,28.4,0,39,22,34,1015.3,NA,0,0
17.7,32.2,0,48,26,10,1010.8,0,0,0
17.5,30,0,33,19,25,1008.3,1,0,0
16.7,32.5,0,37,20,20,1010.1,0,0,0
18.9,23.5,0,59,24,30,1014.2,0,0,0
7.8,27.1,0,31,17,25,1020.1,NA,0,0
12.1,25.7,0,35,17,24,1017.2,NA,0,0
9.4,26.8,0,26,11,32,1018.7,0,0,0
13.1,32.7,0,43,17,20,1016.2,4,0,0
8,25.1,1.6,57,22,26,1017.6,2,1,0
9.7,19.1,0,63,24,43,1020.2,2,0,0
5.5,23.3,0,22,9,32,1024,0,0,0
9.9,28.7,0,31,13,18,1018.7,NA,0,0
14.1,33.7,0,46,26,12,1012.3,NA,0,0
11.2,25.9,0,37,19,45,1013.6,1,0,0
10.1,25.9,0,48,20,32,1017.3,0,0,0
12.2,32,0,37,20,29,1020.3,0,0,0
17.1,38.2,0,63,31,9,1011.9,0,0,0
13.4,24.6,0,50,15,49,1017.3,1,0,0
10.8,32.1,0,26,7,25,1015.3,0,0,0
18,34.2,0,63,41,11,1006.4,1,0,0
8.4,19.3,0,54,22,46,1021.4,1,0,0
6.8,24.2,0,22,11,27,1024.9,0,0,0
10.5,30.5,0,56,22,13,1019,1,0,0
14,25.2,0,43,11,8,1010.6,7,0,0
9.9,24.5,0,43,9,22,1024.8,1,0,0
11.9,30.1,0,41,20,43,1023.7,0,0,0
17.9,35.3,0,39,13,29,1018.5,0,0,0
15.8,26.4,1.4,48,20,54,1013,1,1,0
11.1,21.3,0,46,22,44,1021,1,0,0
6.9,23.2,0,33,19,23,1025.3,0,0,0
9.8,24.9,0,54,15,32,1024.9,1,0,0
11.3,27.7,0,24,13,21,1023.1,1,0,0
17.8,34.7,0,57,26,10,1015.9,5,0,0
15.6,24,0,50,30,53,1012.5,7,0,0
9.7,27.1,0,33,20,45,1018.2,0,0,0
14.8,29.3,0,33,13,24,1020.1,1,0,0
12.8,32.1,0,26,9,12,1020,1,0,0
15.8,34.5,0,37,9,13,1018.5,6,0,0
20,31.5,0,52,26,14,1015.9,7,0,0
11.9,24.6,0,43,15,33,1023.6,NA,0,0
11.8,28.5,0,43,17,33,1023,0,0,0
16.1,33,0,44,20,34,1018.2,1,0,0
21,37.6,0,43,15,28,1013.2,1,0,0
24.9,38.6,0,81,20,17,1008.4,6,0,0
12.6,24.8,1,50,20,52,1014.2,1,0,0
10.7,23.5,0,59,20,33,1016.3,3,0,0
9.9,25.4,0,39,20,56,1014.3,1,0,0
10,25.2,0,44,17,63,1014.2,1,0,0
9.9,26.9,0,41,19,29,1016.4,1,0,0
12.4,27,0,43,15,26,1017.3,0,0,0
13.1,28.4,0,35,19,26,1015.7,5,0,0
14.3,27.8,0,35,20,26,1013.3,1,0,0
14.2,28.4,0,43,13,46,1013,1,0,0
14.8,28.7,0,35,20,38,1014,1,0,0
14.9,32.2,0,37,13,37,1011.8,2,0,0
17.9,36.5,0,46,22,17,1009.2,1,0,0
21.7,37.7,0,52,22,16,1006.7,2,0,0
20.7,29.9,0,35,17,30,1008.8,7,0,0
13.4,27.6,0.2,46,20,31,1007.9,1,0,0
13.5,27.1,0,44,20,42,1009.7,1,0,0
13.6,28.5,0,44,15,35,1009.2,1,0,0
16.8,31.3,0,37,15,38,1013.1,1,0,0
16.7,34.5,0,33,15,23,1014.8,1,0,0
21.6,39.3,0,56,17,17,1009.6,1,0,0
21.8,24.7,0,48,19,40,1008,7,0,0
13,30.2,0,30,13,34,1016.1,0,0,0
17.9,32.1,0,44,17,43,1019.6,1,0,0
19.7,34.6,0,39,22,24,1018.7,1,0,0
20.8,37.7,0,33,13,17,1014,1,0,0
13.9,20,8.2,67,35,53,1005.6,7,1,0
8.1,23.6,0,48,19,35,1017.4,0,0,0
11.7,29.8,0,24,11,23,1020.9,1,0,0
17.4,36.6,0,41,20,12,1015.8,1,0,0
23.8,40,0,61,20,11,1006.5,7,0,0
17.8,28.7,0,41,20,47,1010,5,0,0
14.1,28.2,0,37,22,28,1011.7,7,0,0
15.8,30.8,0,39,17,27,1012.2,1,0,0
16.5,33.1,0,46,11,15,1013.2,1,0,0
18.9,33.4,0,39,20,29,1015.2,1,0,0
17,33.7,0,33,20,14,1016.3,1,0,0
19.9,35.8,0,35,11,33,1015.4,4,0,0
22,36.6,0,46,17,34,1016.9,0,0,0
23.7,38.3,0,39,9,23,1018.4,0,0,0
24.7,39.1,0,37,20,18,1018.2,7,0,0
23.6,39.8,0,41,15,13,1016.7,1,0,0
23.7,41.1,0,44,22,14,1012.9,1,0,0
25.8,42.5,0,52,17,13,1010.3,6,0,0
25.6,31.6,0,48,15,43,1008.9,7,0,0
15.7,31.1,18.4,28,11,83,1013.1,7,1,0
15.7,35.4,0,39,20,35,1009.6,NA,0,0
19.6,39.4,0,31,15,15,1007.8,NA,0,0
20.7,32.8,0,43,20,18,1010.4,NA,0,0
16.7,33.6,0,35,22,25,1012.6,3,0,0
17.5,35.2,0,39,19,7,1012.6,1,0,0
18.5,38.3,0,35,17,18,1010.9,1,0,0
26,44.3,0,50,20,9,1005.1,7,0,0
26.7,41,0,57,22,23,998.4,NA,0,0
17.6,28.9,0,52,20,35,1008.7,NA,0,0
16.6,33,0,39,17,24,1009.6,0,0,0
17.9,27.6,0,44,24,33,1013.9,0,0,0
14.3,29.2,0,39,20,29,1017,0,0,0
17.6,34.4,0,46,19,46,1014.1,2,0,0
17.2,32.8,3.8,41,11,57,1016.7,NA,1,0
19.1,35.4,0,35,7,53,1018.1,NA,0,0
22.5,38.6,0,35,13,28,1015.5,NA,0,0
25.7,40.4,0,39,13,27,1014.5,0,0,0
25.7,39.6,0,43,20,24,1016.5,0,0,0
25.6,39.2,0,39,11,24,1018.1,0,0,0
25.8,40,0,NA,15,20,1016.4,0,0,0
25.3,40.8,0,35,9,15,1012,NA,0,0
27.6,41.9,0,52,15,21,1009.4,NA,0,0
24.2,41.6,0.4,46,11,18,1006.2,1,0,0
25.2,38.2,0,46,19,15,1005.8,0,0,0
21.5,37.9,0,43,19,19,1007.4,4,0,0
20.5,34.7,0,31,7,25,1012.8,7,0,0
21.8,34,0,43,19,48,1014.7,7,0,0
22.9,29.9,0,43,22,55,1010.6,8,0,0
16.7,32.4,0.8,33,13,74,1013.4,1,0,0
17.2,34.6,0,44,13,45,1016.6,0,0,0
20.7,35.8,0,43,11,41,1018.2,0,0,0
22.3,36.6,0,37,13,36,1016.6,0,0,0
22.6,38.5,0,48,20,34,1015.1,0,0,0
23.1,38.3,0,46,15,32,1013.8,0,0,0
23.2,39,0,35,15,30,1012.1,1,0,0
23.6,39.8,0,43,20,33,1010.2,1,0,0
25.7,40.3,0,39,13,24,1010.6,2,0,0
24.7,39.5,0,39,9,20,1009.9,3,0,0
25.6,39.1,0,54,20,29,1010.4,5,0,0
21.2,32.3,0,48,17,49,1015.6,6,0,0
19.8,35.7,0,43,17,38,1014.8,4,0,0
22.1,38.3,0,30,11,23,1012.7,1,0,0
23.5,39.8,0,65,19,20,1013.8,0,0,0
23.6,40.3,0,35,13,26,1014.9,0,0,0
25.3,42,0,39,11,29,1012.9,1,0,0
26.2,41.4,0,44,9,21,1011,3,0,0
25.1,43.2,0,39,24,21,1010.3,0,0,0
24.3,36.6,1.4,44,11,55,1004,7,1,0
15.8,30.7,2.6,24,9,57,1009.8,0,1,0
19.9,33.5,0,44,15,64,1008.4,0,0,0
23,34.1,0,56,28,73,1002.1,7,0,0
14.3,25.1,0,48,22,48,1011.5,1,0,0
12.9,26,0,41,19,31,1017.9,1,0,0
13.2,30.7,0,35,19,39,1017.9,1,0,0
18.4,32,0,43,13,52,1017.2,3,0,0
20.3,33.2,0,30,13,48,1016.7,4,0,0
20.9,35.2,0,37,9,37,1013.1,2,0,0
24.2,35.3,0,31,17,38,1009.8,7,0,0
21.6,32.6,0.8,31,13,45,1014.1,7,0,0
18.2,26.4,4.6,30,15,87,1015.6,7,1,0
18.8,24.9,0,37,15,73,1019.1,6,0,0
19.2,29.6,10,30,15,80,1017.2,2,1,0
19.8,31.6,0,57,7,66,1015.9,4,0,0
16.5,31.1,0,28,11,72,1018.2,1,0,0
17.3,31.4,0,33,20,69,1018.3,1,0,0
19.5,31.5,0,35,13,58,1018.7,1,0,0
19.9,31.5,0,37,15,55,1019.5,1,0,0
20.2,31.8,0,31,20,51,1019.8,0,0,0
18.9,32.2,0,43,9,49,1017.5,3,0,0
18.5,32.2,0,30,13,42,1016.6,1,0,0
16.6,32.1,0,31,19,46,1014.6,3,0,0
19.6,29,0,46,20,58,1010.8,7,0,0
18.4,25.7,0,37,20,53,1010,7,0,0
12.6,26.6,0,22,11,53,1018,0,0,0
16.2,30.6,0,26,13,35,1020.7,7,0,0
17.8,32.3,0,39,15,38,1021.8,4,0,0
19.4,32.1,0,35,17,60,1021.7,1,0,0
18.2,31,0,41,15,60,1018.9,1,0,0
18.2,32,0,31,13,60,1017.1,1,0,0
NA,22.8,5.4,NA,22,NA,NA,7,1,0
11,27.8,0,NA,NA,74,NA,1,0,0
17.6,26.9,4.2,39,6,93,1017.2,8,1,0
15.1,27.6,1.8,26,11,82,1016.5,8,1,0
17,29.8,0,24,11,80,1018.3,1,0,0
16.4,31,0,37,19,69,1019,0,0,0
17.7,31.2,0,28,4,56,1017.8,7,0,0
19,33.7,0,35,6,63,1014.7,1,0,0
21.1,31.9,0,43,17,61,1015.4,2,0,0
16.4,25.3,11.2,24,13,98,1019.3,8,1,0
13.1,26.3,0,28,13,71,1020.8,1,0,0
15.6,27,0,37,19,60,1020.9,1,0,0
15.4,28.3,0,37,17,55,1020.1,3,0,0
17.5,29.4,0,37,9,44,1017.6,7,0,0
15.6,19.9,10,37,19,97,1009.4,8,1,0
15,23.9,0.2,28,13,76,1013.8,4,0,0
13.6,25.6,0.2,28,15,63,1016.5,5,0,0
13.5,25,0,30,15,66,1017.6,0,0,0
12.9,23.6,0,30,13,67,1019,6,0,0
12.4,24.2,0,26,9,54,1019.6,1,0,0
10.7,25.1,0,33,17,50,1021,1,0,0
10.6,26.2,0,48,15,46,1019.1,1,0,0
11.5,21.1,0,35,15,48,1019.8,0,0,0
7.9,21.3,0,28,13,39,1019.9,1,0,0
9.1,23.8,0,19,9,39,1021.5,5,0,0
10.9,26.2,0,26,9,39,1019.3,7,0,0
13.1,29.1,0,28,9,32,1017.3,1,0,0
14.2,28.7,0,28,15,33,1014.9,7,0,0
12.9,30.5,0,33,17,42,1016.9,1,0,0
12.5,25.3,4.8,24,13,84,1020.5,2,1,0
13.2,27,0,33,15,69,1021.9,1,0,0
13.3,20,3.4,39,19,79,1017.4,5,1,0
4.7,19.2,0,28,13,66,1017.8,1,0,0
7.6,13.9,3.8,41,24,86,1013.7,8,1,0
4,15.8,0,26,15,58,1023,6,0,0
9.5,18.4,0,26,15,67,1024.7,7,0,0
6.3,17.9,0,20,9,74,1024,3,0,0
8.7,21.2,0,30,15,63,1023.6,1,0,0
11,21.5,0,35,19,64,1023.2,7,0,0
13.3,19.9,0,31,15,51,1021,7,0,0
8.5,19.7,0.6,31,15,88,1025,1,0,0
8.7,21.8,0,28,15,71,1028.3,1,0,0
11,23.3,0,30,9,66,1027.5,3,0,0
12.2,24.6,0,33,15,56,1026.6,3,0,0
10.5,24.2,0,26,7,48,1026.8,1,0,0
12.7,25.6,0,28,13,58,1028.1,5,0,0
15.7,24.6,0,30,13,44,1028.9,7,0,0
15.6,25.4,0,30,17,48,1027,7,0,0
13,25.3,0,26,6,50,1025.6,7,0,0
14.4,24.1,0,20,4,53,1024.4,8,0,0
12.7,25.9,0,20,6,54,1025,1,0,0
12.4,25.8,0,24,6,50,1023.6,6,0,0
14,26.8,0,50,15,48,1019.1,2,0,0
13,27.6,0,24,13,39,1017.7,1,0,0
14.1,27,0,26,13,47,1019.9,2,0,0
13.9,28.6,0,43,24,46,1021.7,7,0,0
10.4,20.6,1.4,31,20,65,1017.8,5,1,0
8.1,20.6,0,20,9,69,1024,1,0,0
7.2,20.2,0,20,6,73,1023.8,7,0,0
11.7,14.9,33.2,22,11,94,1018.2,8,1,0
9.7,15.9,0.4,24,11,96,1019.8,6,0,0
6.1,15.9,0,15,9,90,1021.9,1,0,0
10.7,16.2,0,20,13,73,1026.2,7,0,0
7.3,17.6,0.2,31,17,86,1027.4,1,0,0
7.2,16.9,0,33,17,99,1027.5,NA,0,0
8.5,17.7,0,28,17,91,1028.8,1,0,0
5.8,16.6,0,35,19,97,1027.8,7,0,0
4.1,17,0,39,20,67,1028.9,1,0,0
6.1,18.3,0,39,17,73,1029.3,7,0,0
7.8,18.9,0,35,17,73,1024.4,5,0,0
6.7,14.4,1.2,31,13,96,1019.3,8,1,0
3.9,13.8,0,28,15,89,1026.2,4,0,0
6.3,16.4,0,28,13,82,1029.5,7,0,0
5.5,17.7,0.2,48,11,84,1030.7,0,0,0
6.6,20,0,39,17,83,1026,7,0,0
8.4,20.8,0,33,19,77,1019.6,4,0,0
6.6,19.8,0,37,13,61,1021.1,8,0,0
4.7,17.9,1,19,9,90,1023.1,0,0,0
9.8,16.2,0,43,24,68,1014.9,7,0,0
4.7,16,0,44,28,65,NA,1,0,0
7.4,16.6,0,31,15,82,1022,1,0,0
4.1,17.5,0,22,11,68,1026.4,0,0,0
5.3,19.1,0,44,24,64,1021.6,2,0,0
6.7,15.8,0,63,28,46,1008.4,7,0,0
4.6,14.1,0.4,43,22,75,1013.8,1,0,0
4.5,12.9,0,35,20,88,1023.3,8,0,0
4.3,15.1,0,31,17,68,1029.7,3,0,0
3.9,15.7,0,24,11,67,1030.9,0,0,0
1.1,21.3,0,NA,11,90,NA,0,0,0
5.2,19.9,0,35,20,50,1022.7,1,0,0
4.6,15.2,0,43,19,67,1021.2,0,0,0
3.7,12.9,0,33,19,61,1020.2,7,0,0
2.4,16.2,0,22,11,76,1020.2,5,0,0
4.1,17.6,0,37,19,61,1016.9,1,0,0
4.8,16.8,0,57,30,25,1005.5,6,0,0
5.4,13.3,0,48,17,63,1014.3,1,0,0
2.1,16.2,0,30,13,70,1023.3,0,0,0
3.4,16.7,0,39,17,49,1024.4,1,0,0
0.6,14.3,0,31,15,77,1029.6,1,0,0
2.1,13.6,0,39,17,60,1029.5,7,0,0
6.8,17.7,0,35,17,54,1020.2,8,0,0
7.6,15,0.8,33,15,81,1017.1,2,0,0
4.7,16.1,0,59,22,60,1018.6,1,0,0
4.3,13.5,0.2,56,26,76,1023.9,7,0,0
-0.1,14.4,0,31,13,79,1027.8,1,0,0
1.4,15.2,0,26,11,76,1027.8,7,0,0
4.9,18.6,0,20,6,70,1024.3,1,0,0
6.7,18.6,0,22,11,72,1024,0,0,0
6.3,18.5,0,28,13,67,1023.3,3,0,0
9.6,22.5,0,35,20,62,1018.3,7,0,0
8.9,22.2,0.2,NA,NA,62,1021.6,3,0,0
NA,NA,0,NA,NA,NA,NA,1,0,0
NA,18.9,0,NA,NA,NA,NA,0,0,0
5.2,20.6,0,31,13,45,1023.9,1,0,0
6.7,22.9,0,35,17,27,1022.4,1,0,0
8.1,23.1,0,35,19,37,1023.1,0,0,0
8.6,23.9,0,50,28,31,1017.4,0,0,0
8.5,14.7,0,56,33,50,1015.4,1,0,0
NA,13.7,0,NA,NA,NA,NA,0,0,0
-0.8,16.4,0,28,13,63,NA,0,0,0
4.6,19.3,0,26,11,64,1031.2,7,0,0
7.4,20.1,0,19,9,67,1032.9,7,0,0
